"STRINGID","Context","English","Gibberish","French","Spanish","German","Korean","BrazillianPortuguese","SimplifedChinese","Russian","Italian","Portuguese","Hungarian","Japanese","Norwegian","Polish","Dutch","Romanian","Danish","Czech","Swedish","Ukrainian","Greek","Arabic","Vietnamese","Turkish"
"DEFAULT","","Christmas decoration","","Décoration de Noël",,,,,,,,,,,,,,,,,,,,,,
"DEFAULT","","Inflatable Santa","","Père Noël gonflable",,,,,,,,,,,,,,,,,,,,,,
"DEFAULT","","Small Christmas Tree","","Petit sapin de Noël",,,,,,,,,,,,,,,,,,,,,,
"DEFAULT","","Medium Christmas Tree","","Sapin de Noël moyen",,,,,,,,,,,,,,,,,,,,,,
"DEFAULT","","Large Christmas Tree","","Grand sapin de Noël",,,,,,,,,,,,,,,,,,,,,,
"DEFAULT","","Huge Christmas Tree","","Immense sapin de Noël",,,,,,,,,,,,,,,,,,,,,,
"DEFAULT","","Small Present","","Petit cadeau",,,,,,,,,,,,,,,,,,,,,,
"DEFAULT","","Medium Present","","Cadeau moyen",,,,,,,,,,,,,,,,,,,,,,
"DEFAULT","","Large Present","","Grand cadeau",,,,,,,,,,,,,,,,,,,,,,
"DEFAULT","","Huge Present","","Énorme cadeau",,,,,,,,,,,,,,,,,,,,,,
"DEFAULT","","Little Present","","Cadeau petit",,,,,,,,,,,,,,,,,,,,,,
"DEFAULT","","Big Present","","Cadeau gros",,,,,,,,,,,,,,,,,,,,,,
"DEFAULT","","Enormous Present","","Cadeau énorme",,,,,,,,,,,,,,,,,,,,,,
"DEFAULT","","Snowman","","Bonhomme de neige",,,,,,,,,,,,,,,,,,,,,,
"DEFAULT","","An inflatable decoration that instantly brings the Christmas spirit to your garden.","","Une décoration gonflable qui apporte instantanément l'esprit de Noël dans votre jardin.",,,,,,,,,,,,,,,,,,,,,,
"DEFAULT","","A compact tree that's perfect for tight spaces.","","Un sapin compact parfait pour les espaces restreints.",,,,,,,,,,,,,,,,,,,,,,
"DEFAULT","","A generously decorated tree that brightens any living room.","","Un sapin généreusement garni qui illumine n'importe quel salon.",,,,,,,,,,,,,,,,,,,,,,
"DEFAULT","","A majestic centerpiece that draws every eye.","","Une pièce maîtresse majestueuse qui attire tous les regards.",,,,,,,,,,,,,,,,,,,,,,
"DEFAULT","","The ultimate holiday symbol, covered in sparkling ornaments.","","Le symbole ultime des fêtes, couvert de décorations scintillantes.",,,,,,,,,,,,,,,,,,,,,,
"DEFAULT","","A small present carefully wrapped to place under the tree.","","Un petit cadeau soigneusement emballé à mettre sous le sapin.",,,,,,,,,,,,,,,,,,,,,,
"DEFAULT","","A medium-sized gift that stands out around the tree.","","Un cadeau moyen qui attire le regard autour du sapin.",,,,,,,,,,,,,,,,,,,,,,
"DEFAULT","","A massive box ready to be opened at the foot of the tree.","","Une boîte massive prête à être ouverte au pied du sapin.",,,,,,,,,,,,,,,,,,,,,,
"DEFAULT","","A very large, colorful present to celebrate the holidays.","","Un très gros cadeau coloré pour célébrer les fêtes.",,,,,,,,,,,,,,,,,,,,,,
"DEFAULT","","A frosty companion that lasts far longer than a real pile of snow.","","Un compagnon givré qui dure bien plus longtemps qu'un vrai amas de neige.",,,,,,,,,,,,,,,,,,,,,,
